image_id,label,variety,age
PDD00001.jpg,bacterial_leaf_blight,45,65
PDD00002.jpg,bacterial_leaf_blight,45,60
PDD00003.jpg,bacterial_leaf_blight,45,55
PDD00004.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00005.jpg,bacterial_leaf_blight,45,72
PDD00006.jpg,bacterial_leaf_blight,45,68
PDD00007.jpg,bacterial_leaf_blight,Ponni,47
PDD00008.jpg,bacterial_leaf_blight,45,55
PDD00009.jpg,bacterial_leaf_blight,45,72
PDD00010.jpg,bacterial_leaf_blight,45,55
PDD00011.jpg,bacterial_leaf_blight,45,72
PDD00012.jpg,bacterial_leaf_blight,45,72
PDD00013.jpg,bacterial_leaf_blight,45,50
PDD00014.jpg,bacterial_leaf_blight,45,72
PDD00015.jpg,bacterial_leaf_blight,45,72
PDD00016.jpg,bacterial_leaf_blight,IR20,50
PDD00017.jpg,bacterial_leaf_blight,45,55
PDD00018.jpg,bacterial_leaf_blight,45,55
PDD00019.jpg,bacterial_leaf_blight,45,72
PDD00020.jpg,bacterial_leaf_blight,45,55
PDD00021.jpg,bacterial_leaf_blight,45,72
PDD00022.jpg,bacterial_leaf_blight,45,68
PDD00023.jpg,bacterial_leaf_blight,KarnatakaPonni,50
PDD00024.jpg,bacterial_leaf_blight,45,68
PDD00025.jpg,bacterial_leaf_blight,45,50
PDD00026.jpg,bacterial_leaf_blight,45,68
PDD00027.jpg,bacterial_leaf_blight,45,60
PDD00028.jpg,bacterial_leaf_blight,45,72
PDD00029.jpg,bacterial_leaf_blight,45,72
PDD00030.jpg,bacterial_leaf_blight,45,72
PDD00031.jpg,bacterial_leaf_blight,45,72
PDD00032.jpg,bacterial_leaf_blight,45,55
PDD00033.jpg,bacterial_leaf_blight,45,72
PDD00034.jpg,bacterial_leaf_blight,45,55
PDD00035.jpg,bacterial_leaf_blight,45,60
PDD00036.jpg,bacterial_leaf_blight,45,55
PDD00037.jpg,bacterial_leaf_blight,Ponni,47
PDD00038.jpg,bacterial_leaf_blight,45,45
PDD00039.jpg,bacterial_leaf_blight,Zonal,70
